사용월,호선명,지하철역,유임승차인원,무임승차인원,유임하차인원,무임하차인원,작업일자
201911,1호선,제기동,285598,328094,276321,350312,20191203
201910,1호선,제기동,296151,357200,286159,382149,20191103
201909,1호선,제기동,264818,332466,256270,356572,20191003
201908,1호선,제기동,268193,332498,259146,353671,20190903
201907,1호선,제기동,282671,330434,272541,351063,20190803
201906,1호선,제기동,272032,338251,262364,360782,20190703
201905,1호선,제기동,297370,353695,286647,375436,20190603
201904,1호선,제기동,294894,347589,286975,367465,20190503
201903,1호선,제기동,295654,341644,287292,359923,20190403
201902,1호선,제기동,242864,277513,236025,293220,20190303
201901,1호선,제기동,293540,374571,288217,400607,20190203
201812,1호선,제기동,287557,327772,278704,346642,20190103
201811,1호선,제기동,298861,339292,290296,359811,20181203
201810,1호선,제기동,304591,353468,296755,375347,20181103
201809,1호선,제기동,271607,358897,267108,386589,20181003
201808,1호선,제기동,268073,316015,260380,333333,20180903
201807,1호선,제기동,283628,322384,276403,339915,20180803
201806,1호선,제기동,281903,336234,274808,358467,20180703
201805,1호선,제기동,300639,346736,293913,368445,20180603
201804,1호선,제기동,294639,340425,289500,362545,20180503
201803,1호선,제기동,303632,349589,297426,371170,20180403
201803,1호선,제기동,303632,349589,297426,371170,20180403
201802,1호선,제기동,250605,305913,247490,326825,20180303
201801,1호선,제기동,284793,305347,278247,323565,20180203
201712,1호선,제기동,296747,321443,290519,341428,20180103
201711,1호선,제기동,301720,335549,298209,357971,20171203
201710,1호선,제기동,270014,307409,263865,326638,20171103
201709,1호선,제기동,302068,363915,296165,392419,20171003
201708,1호선,제기동,275569,307312,268852,326431,20170903
201707,1호선,제기동,278268,292021,271638,308591,20170803
201706,1호선,제기동,288794,313571,280624,332161,20170703
201705,1호선,제기동,293929,322677,286646,341244,20170603
201704,1호선,제기동,297398,311151,290152,329586,20170503
201703,1호선,제기동,316497,325773,310145,345473,20170403
201702,1호선,제기동,274359,272875,269804,288398,20170308
201701,1호선,제기동,282753,308591,279835,330745,20170208
201612,1호선,제기동,310168,307262,301562,324650,20170108
201611,1호선,제기동,305730,304093,299437,322823,20161208
201610,1호선,제기동,302169,319124,296362,336896,20161108
201610,1호선,제기동,302169,319124,296362,336896,20161108
201609,1호선,제기동,272728,319290,267940,340621,20161008
201609,1호선,제기동,272728,319290,267940,340621,20161008
201608,1호선,제기동,266043,279978,260556,293886,20160908
201607,1호선,제기동,279077,284607,274773,299011,20160808
201606,1호선,제기동,284663,302902,280714,317699,20160708
201605,1호선,제기동,298797,299148,294285,312967,20160608
201604,1호선,제기동,295172,302652,292000,316927,20160508
201603,1호선,제기동,310795,320558,306236,335459,20160408
201602,1호선,제기동,256958,268469,254181,283226,20160308
201601,1호선,제기동,279307,306695,274942,324019,20160208
201512,1호선,제기동,305975,311257,300744,327630,20160108
201511,1호선,제기동,291233,286499,289633,303812,20151204
201510,1호선,제기동,290008,285374,317349,332905,20151108
201509,1호선,제기동,268854,267216,323806,344619,20151008
201508,1호선,제기동,253773,250835,289544,304974,20150908
201507,1호선,제기동,271001,267140,297165,311317,20150808
201506,1호선,제기동,257425,253997,257278,271573,20150708
201505,1호선,제기동,291242,287105,315674,331151,20150608
201504,1호선,제기동,297007,295731,319606,336690,20150508
201503,1호선,제기동,302851,300914,332147,350732,20150408
201502,1호선,제기동,251837,252779,306067,326092,20150311
201501,1호선,제기동,286925,285937,325941,344372,20150206
