사용월,호선명,지하철역,무임승차인원
201912,1호선,제기동,337632
201911,1호선,제기동,328094
201910,1호선,제기동,357200
201909,1호선,제기동,332466
201908,1호선,제기동,332498
201907,1호선,제기동,330434
201906,1호선,제기동,338251
201905,1호선,제기동,353695
201904,1호선,제기동,347589
201903,1호선,제기동,341644
201902,1호선,제기동,277513
201901,1호선,제기동,374571
201812,1호선,제기동,327772
201811,1호선,제기동,339292
201810,1호선,제기동,353468
201809,1호선,제기동,358897
201808,1호선,제기동,316015
201807,1호선,제기동,322384
201806,1호선,제기동,336234
201805,1호선,제기동,346736
201804,1호선,제기동,340425
201803,1호선,제기동,349589
201802,1호선,제기동,305913
201801,1호선,제기동,305347
201712,1호선,제기동,321443
201711,1호선,제기동,335549
201710,1호선,제기동,307409
201709,1호선,제기동,363915
201708,1호선,제기동,307312
201707,1호선,제기동,292021
201706,1호선,제기동,313571
201705,1호선,제기동,322677
201704,1호선,제기동,311151
201703,1호선,제기동,325773
201702,1호선,제기동,272875
201701,1호선,제기동,308591
201612,1호선,제기동,307262
201611,1호선,제기동,304093
201610,1호선,제기동,319124
201609,1호선,제기동,319290
201608,1호선,제기동,279978
201607,1호선,제기동,284607
201606,1호선,제기동,302902
201605,1호선,제기동,299148
201604,1호선,제기동,302652
201603,1호선,제기동,320558
201602,1호선,제기동,268469
201601,1호선,제기동,306695
201512,1호선,제기동,311257
201511,1호선,제기동,286499
201510,1호선,제기동,285374
201509,1호선,제기동,267216
201508,1호선,제기동,250835
201507,1호선,제기동,267140
201506,1호선,제기동,253997
201505,1호선,제기동,287105
201504,1호선,제기동,295731
201503,1호선,제기동,300914
201502,1호선,제기동,252779
201501,1호선,제기동,285937
